affiliation_id,affiliation_name,character_id,character_key,display_name,name_suffix,source_character_name,role_title,evidence_kind,evidence_source,source_whois_id,evidence_excerpt,confidence,review_status,notes
arda_s_army,Arda's Army,,Aaven,Aaven,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Aelor,Aelor,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Aerie,Aerie,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Aldweth,Aldweth,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Awreth,Awreth,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Berat,Berat,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Darien,Darien,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Dwalid,Dwalid,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Euronymous,Euronymous,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Filk,Filk,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Fëndor,Fëndor,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Gilean,Gilean,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Groan,Groan,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Gwenyth,Gwenyth,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Gwoern,Gwoern,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,char_juss,Juss,Juss,,Juss,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,char_khuka,Khuka,Khuka,,Khuka,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Mumacik,Mumacik,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,char_mumma,Mumma,Mumma,,Mumma,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Méagyn,Méagyn,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Oddvar,Oddvar,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Rackarth,Rackarth,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Razer,Razer,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Slithe,Slithe,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Xury,Xury,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
arda_s_army,Arda's Army,,Ziglak,Ziglak,,,,listed_member,2003_clans_webpage_member_list,,Player-organised army/group. Entry consists mainly of member list.,medium,candidate,
army_of_arthedain,Army of Arthedain,,Harduin,Harduin,,,council member,listed_contact,2003_clans_webpage_member_list,,Semi-RP group focused on protecting Arthedain; described as young and growing.,medium,candidate,
army_of_arthedain,Army of Arthedain,,Höelun,Höelun,,,council member,listed_contact,2003_clans_webpage_member_list,,Semi-RP group focused on protecting Arthedain; described as young and growing.,medium,candidate,
army_of_arthedain,Army of Arthedain,,Ilwin,Ilwin,,,council member,listed_contact,2003_clans_webpage_member_list,,Semi-RP group focused on protecting Arthedain; described as young and growing.,medium,candidate,
army_of_arthedain,Army of Arthedain,,Röxic,Röxic,,,council member,listed_contact,2003_clans_webpage_member_list,,Semi-RP group focused on protecting Arthedain; described as young and growing.,medium,candidate,
army_of_arthedain,Army of Arthedain,,Tendor,Tendor,,,council member,listed_contact,2003_clans_webpage_member_list,,Semi-RP group focused on protecting Arthedain; described as young and growing.,medium,candidate,
black_shadow_clan,Black Shadow Clan,char_elrik,Elrik,Elrik,,Elrik,,whois_affiliation_name_match,whois_records_raw_text,whois_elrik_1780908607,Elrik the black istar of the Black Shadow Clan is a Black Númenórean [Retired]. http://bsc.mandor.se/,medium,candidate,
black_shadow_clan,Black Shadow Clan,char_granvil,Granvil,Granvil,,Granvil,,whois_affiliation_name_match,whois_records_raw_text,whois_granvil_1780909536,Granvil the Senile Granny of Black Shadow Clan is a level fifty-four Black Númenórean Envoy [Retired]. The reborn Senile Granny of…,medium,candidate,
black_shadow_clan,Black Shadow Clan,char_hate,Hate,Hate,,Hate,,whois_affiliation_name_match,whois_records_raw_text,whois_hate_1780909821,Hate - Twisted Soul of the Black Shadow Clan is a level thirty-one Black Númenórean Warlock [Retired]. What's the smell of the th…,medium,candidate,
black_shadow_clan,Black Shadow Clan,char_ivanushka,Ivanushka,Ivanushka,,Ivanushka,,whois_affiliation_name_match,whois_records_raw_text,whois_ivanushka_1780912054,"Ivanushka Foolproof of Black Shadow Clan is a Black Númenórean [Retired]. Don't drink from the pool Ivanushka! , she said. But…",medium,candidate,
black_shadow_clan,Black Shadow Clan,char_lotheila,Lotheila,Lotheila,,Lotheila,,whois_affiliation_name_match,whois_records_raw_text,whois_lotheila_1780913030,Lotheila The Evil Snake of Black Shadow Clan is a Black Númenórean. GER i dont enchant sorry...,medium,candidate,
black_shadow_clan,Black Shadow Clan,char_lâirâthim,Lâirâthim,Lâirâthim,,Lâirâthim,,whois_affiliation_name_match,whois_records_raw_text,whois_lâirâthim_1780912743,Lâirâthim - Backfire of the Black Shadow Clan is a Black Númenórean [Retired]. |\ |\ .(' *) ' .…,medium,candidate,
black_shadow_clan,Black Shadow Clan,char_morholt,Morholt,Morholt,,Morholt,,whois_affiliation_name_match,whois_records_raw_text,whois_morholt_1780913632,"Morholt The Headhunter of Black Shadow Clan is a Black Númenórean. Thanks for looting most including darkie only items,",medium,candidate,
black_shadow_clan,Black Shadow Clan,char_mortis,Mortis,Mortis,,Mortis,,whois_affiliation_name_match,whois_records_raw_text,whois_mortis_1780913683,Mortis the Harbinger of the Black Shadow Clan is a Black Númenórean [Retired].,medium,candidate,
black_shadow_clan,Black Shadow Clan,char_oscarmeyer,OscarMeyer,OscarMeyer,,Oscarmeyer,,listed_contact,2003_clans_webpage_member_list,,Highly selective Sauron-aligned clan.,medium,candidate,Named contact/author of recruitment text.
black_shadow_clan,Black Shadow Clan,char_oscarmeyer,Oscarmeyer,Oscarmeyer,,Oscarmeyer,,whois_affiliation_name_match,whois_records_raw_text,whois_oscarmeyer_1780914294,"Oscarmeyer the Evasion Expert of Black Shadow Clan is a level fifty-two Black Númenórean Murderer [Retired]. Oh, dance in the dark of n…",medium,candidate,
black_shadow_clan,Black Shadow Clan,char_snowball,Snowball,Snowball,,Snowball,,whois_affiliation_name_match,whois_records_raw_text,whois_snowball_1780915997,"Snowball - Firekeeper of the Black Shadow Clan is a Black Númenórean [Retired]. Im Mesmerized in every way,…",medium,candidate,
carrock_of_anduin,Carrock of Anduin,,Ethoe,Ethoe,,,,listed_contact,2003_clans_webpage_member_list,,Beorning group formed for protection and future attacks against Sauron’s forces.,medium,candidate,
damage_inc,Damage Inc.,char_kochurma,Kochurma,Kochurma,,Kochurma,,listed_member,2003_clans_webpage_member_list,,Mercenary orc smiter clan; names/whois inspired by Metallica song.,medium,candidate,
damage_inc,Damage Inc.,char_kunduk,Kunduk,Kunduk,,Kunduk,special member,listed_member,2003_clans_webpage_member_list,,Mercenary orc smiter clan; names/whois inspired by Metallica song.,medium,candidate,
damage_inc,Damage Inc.,char_piastr,Piastr,Piastr,,Piastr,,listed_member,2003_clans_webpage_member_list,,Mercenary orc smiter clan; names/whois inspired by Metallica song.,medium,candidate,
damage_inc,Damage Inc.,char_stolb,Stolb,Stolb,,Stolb,,listed_member,2003_clans_webpage_member_list,,Mercenary orc smiter clan; names/whois inspired by Metallica song.,medium,candidate,
damage_inc,Damage Inc.,char_zmej,Zmej,Zmej,,Zmej,,listed_member,2003_clans_webpage_member_list,,Mercenary orc smiter clan; names/whois inspired by Metallica song.,medium,candidate,
dead_horse_squad,Dead Horse Squad,,Euronymous,Euronymous,,,,listed_contact,2003_clans_webpage_member_list,,Very short entry: growing.,medium,candidate,
durin_s_army,Durin's Army,char_ardent,Ardent,Ardent the Faithful,the Faithful,Ardent,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,char_ardent,Ardent,Ardent,,Ardent,,whois_affiliation_name_match,whois_records_raw_text,whois_ardent_1780899446,"Ardent the Faithful, Prophet of Durin's Army is a level forty-six Dwarven Patriarch [Retired]. Last login 6 months ago from [numer…",medium,candidate,
durin_s_army,Durin's Army,,Burli,Burli Basher,Basher,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,,Dòne,Dòne Bloodshed,Bloodshed,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,,Fari,Fari Khórad,Khórad,,Warmaster,founder,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium_high,candidate,
durin_s_army,Durin's Army,char_grumph,Grumph,Grumph Hrothgar,Hrothgar,Grumph,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,char_grumph,Grumph,Grumph,,Grumph,,whois_affiliation_name_match,whois_records_raw_text,whois_grumph_1780909630,"Grumph Hrothgar, Sniffer of Durin's Army is a Dwarf [Retired]. Last login 13 years, 2 months, and 13 days ago.",medium,candidate,
durin_s_army,Durin's Army,char_gròk,Gròk,Gròk Roks,Roks,Gròk,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,char_gròk,Gròk,Gròk,,Gròk,,whois_affiliation_name_match,whois_records_raw_text,whois_gròk_1780909597,"Gròk Róks, Warmonger of Durin's Army is a level thirty-seven Dwarven Bodyguard [Retired]. Last login 13 years, 2 months, a…",medium,candidate,
durin_s_army,Durin's Army,,Kibgil,Kibgil Swiftfoot,Swiftfoot,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,,Lian,Lian,,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,char_líëf,Líëf,Líëf O'le,O'le,Líëf,Chieftain,founder,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium_high,candidate,
durin_s_army,Durin's Army,char_líëf,Líëf,Líëf,,Líëf,,whois_affiliation_name_match,whois_records_raw_text,whois_líëf_1780912894,"Líëf O'le, Commander of Durin's Army is a Dwarf [Retired]. There are two yous that exist. The you that is in your mind, and…",medium,candidate,
durin_s_army,Durin's Army,char_nari,Nari,Nari Khórad,Khórad,Nari,Chancellor,founder,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium_high,candidate,
durin_s_army,Durin's Army,char_nari,Nari,Nari,,Nari,,whois_affiliation_name_match,whois_records_raw_text,whois_nari_1780913927,"Nari Khórad, Chancellor of Durin's Army is a level thirty-nine Dwarven Warden [Retired]. Last login 10 years, 1 month, and 17…",medium,candidate,
durin_s_army,Durin's Army,,Ritz,Ritz Blitz,Blitz,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,,Roy,Roy Boy,Boy,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,,Strah,Strah The Protector,The Protector,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,char_téar,Téar,Téar Oldenburg,Oldenburg,Téar,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,char_uber,Uber,Uber Gukmo,Gukmo,Uber,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_army,Durin's Army,,Vräsh,Vräsh Ugmök,Ugmök,,,listed_member,2003_clans_webpage_member_list,,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",medium,candidate,
durin_s_house,Durin's House,,Brawn,Brawn,,,founder; elder; emissary,founder,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium_high,candidate,Founder; formerly associated with Thorin's Tribe.
durin_s_house,Durin's House,,Brawn,Brawn Firmfoot,Firmfoot,,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,char_bruni,Bruni,Bruni,,Bruni,founder; elder,founder,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium_high,candidate,Founder; formerly associated with Thorin's Tribe.
durin_s_house,Durin's House,char_bruni,Bruni,Bruni Brighthead,Brighthead,Bruni,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,char_bruni,Bruni,Bruni,,Bruni,,whois_affiliation_name_match,whois_records_raw_text,whois_bruni_1780907288,"Bruni Brighthead, Intelligent of Durin's House is a level forty Dwarven Patriarch [Retired]. Last login 13 years and 5 days ago from…",medium,candidate,
durin_s_house,Durin's House,,Coco,Coco NutsHead,NutsHead,,apprentice,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,,Condor,Condor Headslayer,Headslayer,,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,char_doreth,Doreth,Doreth Lightfoot,Lightfoot,Doreth,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,char_doreth,Doreth,Doreth,,Doreth,,whois_affiliation_name_match,whois_records_raw_text,whois_doreth_1780908089,"Doreth Lightfoot, Messenger of Durin's House is a Dwarf [Retired]. Last login 10 months and 17 days ago from *.ee. I'm old, just plai…",medium,candidate,
durin_s_house,Durin's House,,Eld,Eld Clearthought,Clearthought,,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,,Erath,Erath Soulblade,Soulblade,,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,char_floi,Floi,Floi Darkbeard,Darkbeard,Floi,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,char_flói,Flói,Flói,,Flói,,whois_affiliation_name_match,whois_records_raw_text,whois_flói_1780909041,"Flói Darkbeard, Quickblade of Durin's House is a level sixty-one Longbeard Hero [Retired]. Last login 2 months and 28 days ago. .…",medium,candidate,
durin_s_house,Durin's House,char_fragir,Fragir,Fragir Exorcist,Exorcist,Fragir,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
durin_s_house,Durin's House,char_fragir,Fragir,Fragir,,Fragir,,whois_affiliation_name_match,whois_records_raw_text,whois_fragir_1780909085,"Fragir the Exorcist, Monk of Durin's House is a level seventy-five Dwarven Priest. Last login 1 month and 28 days ago from [nume…",medium,candidate,
durin_s_house,Durin's House,char_fragir,Fragir,Fragir,,Fragir,,whois_affiliation_name_match,whois_records_raw_text,whois_fragir_1780961941,"Fragir the Exorcist, Monk of Durin's House is a level seventy-five Dwarven Priest. Last login 1 month and 28 days ago from [nume…",medium,candidate,
durin_s_house,Durin's House,,Grunga,Grunga Nimblefinger,Nimblefinger,,,listed_member,2003_clans_webpage_member_list,,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",medium,candidate,
